replicate_num,horm_conc,Cell Cycle Stage,Moth_ID,Position_n,frame_i,original_filename,timestamp,time_min,cell_area_pxl,cell_area_um2,ratio_areas_bud_moth,cell_vol_vox,cell_vol_fl,ratio_volumes_bud_moth,predicted_cell_cycle_stage,generation_num,num_spots,ref_ch_vol_vox,ref_ch_vol_um3,ref_ch_vol_len_um,ref_ch_num_fragments,relationship,relative_ID,OF,spots_ch_norm_val,ref_ch_norm_val,spotsize_tot_fluoresc,spots_INref_tot_fluoresc,creation_datetime
2020-07-28_ASY39-1_1,SCD_0nM,S,3,Position_48,0,ASY39-1_0nM-49,2020/07/28 10:58:07.310,0.0,8750.0,39.572421875,0.3814335333122829,423603.4416322712,128.83573693980154,0.263975368456459,S,-1,1,16905,26.758871671875,0,4,mother,2,0,0.0892823199790112,0.1550367661143465,,1166.1921568627452,2021/11/18 10:22:40.700
2020-07-28_ASY39-1_1,SCD_0nM,S,4,Position_12,0,ASY39-1_0nM-13,2020/07/28 09:31:53.446,0.0,5388.0,24.36756675,0.1295597484276729,243102.37588709532,73.93772257502005,0.0484504731340838,S,-1,2,9650,15.27495484375,0,5,mother,2,0,0.1387767294499116,0.2875517505606918,36.171661657363686,1047.5529411764703,2021/11/18 10:19:43.686
2020-07-28_ASY39-1_1,SCD_0nM,S,4,Position_29,0,ASY39-1_0nM-30,2020/07/28 10:38:14.334,0.0,8257.0,37.3427985625,0.4858736728450603,372246.2061742097,113.21582778152292,0.3359072938017065,S,-1,0,16486,26.09563788125,0,5,mother,2,0,0.0,0.189899086310254,,,2021/11/18 10:21:11.324
2020-07-28_ASY39-1_1,SCD_0nM,S,5,Position_9,0,ASY39-1_0nM-10,2020/07/28 09:27:58.425,0.0,10613.0,47.99795581250001,0.5288101411696917,561323.5479147987,170.7222506941919,0.3826905868923301,S,-1,8,21366,33.82017463125,0,6,mother,3,0,0.1012761764427276,0.2289267764018796,,2094.741176470588,2021/11/18 10:19:29.706
2020-07-28_ASY39-1_1,SCD_15nM,G1,1,Position_1,0,ASY39-1_15nM-02,2020/07/28 11:20:01.759,0.0,4007.0,18.1219079375,0.0,158671.09834175758,48.25859725581299,0.0,G1,-1,2,8143,12.889529253125,0,1,mother,0,0,0.1024943179897098,0.173362607751233,6.7905968226706745,519.5372549019608,2021/11/18 10:23:03.919
2020-07-28_ASY39-1_1,SCD_15nM,G1,1,Position_11,0,ASY39-1_15nM-12,2020/07/28 11:30:20.417,0.0,4099.0,18.5379836875,0.0,177508.38044323522,53.9878120897038,0.0,G1,-1,0,9587,15.175232340625,0,2,mother,0,0,0.0918170765836983,0.2152203824576518,,567.9372549019606,2021/11/18 10:24:02.296
2020-07-28_ASY39-1_1,SCD_15nM,G1,1,Position_12,0,ASY39-1_15nM-13,2020/07/28 11:31:11.879,0.0,8116.0,36.70511725000001,0.0,515077.9852973488,156.65701761427022,0.0,G1,-1,5,15221,24.093273334375,0,8,mother,0,0,0.1015050362908111,0.1579662618710708,70.08656075568912,1119.1058823529413,2021/11/18 10:24:06.827
2020-07-28_ASY39-1_1,SCD_15nM,G1,1,Position_2,0,ASY39-1_15nM-03,2020/07/28 11:21:15.192,0.0,17956.0,81.20713225000002,0.0,1724555.8861689568,524.5104422010991,0.0,G1,-1,6,41759,66.100190603125,0,7,mother,0,0,0.0778808436410334,0.1566603535302816,47.86529268641763,2086.294117647058,2021/11/18 10:23:12.543
2020-07-28_ASY39-1_1,SCD_15nM,G1,1,Position_22,0,ASY39-1_15nM-23,2020/07/28 11:41:16.875,0.0,6896.0,31.187591000000005,0.0,395119.3864314701,120.17253007658888,0.0,G1,-1,3,15634,24.74700974375,0,1,mother,0,0,0.0700780314278034,0.173330636284145,25.61058155622346,662.8,2021/11/18 10:24:53.525
2020-07-28_ASY39-1_1,SCD_15nM,G1,1,Position_36,0,ASY39-1_15nM-37,2020/07/28 11:57:53.564,0.0,8379.0,37.89455118750001,0.0,563710.7811271911,171.44830936118626,0.0,G1,-1,4,15961,25.264617021875,0,3,mother,0,0,0.1228951676041121,0.2166913476274501,-1.7925925925925918,1460.964705882353,2021/11/18 10:25:59.877
2020-07-28_ASY39-1_1,SCD_15nM,G1,1,Position_41,0,ASY39-1_15nM-42,2020/07/28 12:03:18.219,0.0,6357.0,28.749929812500003,0.0,367873.3540162855,111.8858583456654,0.0,G1,-1,2,13107,20.747029340625,0,2,mother,0,0,0.0564828471820629,0.1699073693301641,35.172549019607835,437.4705882352941,2021/11/18 10:26:28.454
2020-07-28_ASY39-1_1,SCD_15nM,S,1,Position_10,0,ASY39-1_15nM-11,2020/07/28 11:29:32.548,0.0,13729.0,62.090260562500006,0.7404918864097363,781882.1833487175,237.80346756313716,0.6370119802457306,S,-1,1,34276,54.2553732875,0,5,mother,2,0,0.0740997635760404,0.1925117609146166,,1646.1372549019604,2021/11/18 10:23:55.317
2020-07-28_ASY39-1_1,SCD_15nM,S,1,Position_14,0,ASY39-1_15nM-15,2020/07/28 11:33:17.267,0.0,7383.0,33.3900789375,0.5562816188870152,321817.5879153849,97.87835042015703,0.4427179273577907,S,-1,0,15586,24.67103069375,0,6,mother,2,0,0.0,0.2095098834635037,,,2021/11/18 10:24:15.262
2020-07-28_ASY39-1_1,SCD_15nM,S,1,Position_16,0,ASY39-1_15nM-17,2020/07/28 11:35:19.424,0.0,5481.0,24.788165062500003,0.5759056929269695,204482.7635861745,62.19186377853311,0.4897001021819119,S,-1,2,14246,22.54994888125,0,4,mother,2,0,0.0413659984032078,0.1511249992695379,,264.85490196078433,2021/11/18 10:24:24.328
2020-07-28_ASY39-1_1,SCD_15nM,S,1,Position_19,0,ASY39-1_15nM-20,2020/07/28 11:38:24.042,0.0,8440.0,38.1704275,0.3264183561213264,404411.71221590607,122.9987196743632,0.2082666823211489,S,-1,2,20156,31.9048694125,0,3,mother,2,0,0.1049181385851041,0.1791460720162153,47.74901960784313,1460.3803921568629,2021/11/18 10:24:39.459
2020-07-28_ASY39-1_1,SCD_15nM,S,1,Position_23,0,ASY39-1_15nM-24,2020/07/28 11:42:22.862,0.0,6610.0,29.894138125000005,0.4030991296964551,254702.27934963355,77.46574422014166,0.2749385590956946,S,-1,1,12655,20.031559953125,0,5,mother,2,0,0.0923886518213502,0.1878219416505539,,842.7882352941176,2021/11/18 10:24:57.118
2020-07-28_ASY39-1_1,SCD_15nM,S,1,Position_25,0,ASY39-1_15nM-26,2020/07/28 11:44:05.752,0.0,11079.0,50.1054699375,0.5143521049753964,560282.2264109098,170.40554074767252,0.3708732890655761,S,-1,2,30165,47.748084234375,0,5,mother,2,0,0.1578322485732868,0.2463755293845274,,3405.4156862745103,2021/11/18 10:25:06.247
2020-07-28_ASY39-1_1,SCD_15nM,S,1,Position_27,0,ASY39-1_15nM-28,2020/07/28 11:46:04.124,0.0,5132.0,23.209790750000003,0.2817182817182817,189289.41752004152,57.5709241339706,0.1677245222389371,S,-1,1,11095,17.562240828125,0,2,mother,2,0,0.0903549674207194,0.2106270540886458,,653.1686274509805,2021/11/18 10:25:13.470
2020-07-28_ASY39-1_1,SCD_15nM,S,1,Position_28,0,ASY39-1_15nM-29,2020/07/28 11:47:26.013,0.0,5921.0,26.778092562500003,0.0573214285714285,263673.98839749576,80.1944206972186,0.0134298655118692,S,-1,0,14299,22.633842415625,0,2,mother,2,0,0.0,0.1691270392698178,,,2021/11/18 10:25:17.093
2020-07-28_ASY39-1_1,SCD_15nM,S,1,Position_29,0,ASY39-1_15nM-30,2020/07/28 11:48:14.245,0.0,7279.0,32.9197324375,0.5048583832954311,282327.0990469855,85.86762119692766,0.4220053775509773,S,-1,2,15708,24.8641441125,0,4,mother,2,0,0.099497409674795,0.2023236008282963,48.82745098039215,1274.8901960784312,2021/11/18 10:25:21.453
2020-07-28_ASY39-1_1,SCD_15nM,S,1,Position_3,0,ASY39-1_15nM-04,2020/07/28 11:22:08.574,0.0,7179.0,32.467476187500004,0.6867951127819549,290090.0321944559,88.22865775747805,0.5615974747108664,S,-1,1,10665,16.881595171875002,0,5,mother,2,0,0.0816928949182859,0.2059415069082441,,480.44705882352935,2021/11/18 10:23:15.913
2020-07-28_ASY39-1_1,SCD_15nM,S,1,Position_30,0,ASY39-1_15nM-31,2020/07/28 11:51:06.017,0.0,6146.0,27.795669125,0.0820422535211267,301908.8306262045,91.82325462815017,0.0242781959497526,S,-1,3,16181,25.612854334375,0,4,mother,2,0,0.0729717651421496,0.1889142479965338,,749.1254901960784,2021/11/18 10:25:26.759
