medium,ploidy,replicate,exp_folder,Position_n,Cell_ID,category,mKate_stain_index,mNeon_inside_cell_stain_index
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_41,1,SCD,3.2787858683624465,3.420665351020178
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_41,2,SCD,3.683959194145221,2.336078744827659
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_42,2,SCD,2.85337561587739,1.9502161529666
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_42,3,SCD,2.8452508866465496,2.212463925494369
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_43,2,SCD,2.88948778918921,2.401350483479711
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_43,3,SCD,3.126706707831097,1.8711341842698208
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_44,1,SCD,4.340194850357598,4.066497218269848
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_44,2,SCD,4.698564382435201,4.242400378611363
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_45,1,SCD,2.8776346307225245,2.8209350916384737
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_45,3,SCD,3.020955134203491,3.09637905097365
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_46,1,SCD,3.193956064490484,2.312691434902902
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_46,2,SCD,2.9705663775508517,3.430408942698211
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_47,1,SCD,3.5753659815988192,2.606099988723789
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_47,2,SCD,3.060741137131225,3.768373907590201
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_48,3,SCD,3.218478545455041,2.927213343973763
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_48,4,SCD,3.682881632845418,2.542984559828769
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_49,2,SCD,2.980941171459672,2.7406304006576727
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_49,3,SCD,3.093132239110947,2.7511187017451
